well,OD,MD,TVD
BK-23-D_R,9.625,306.1,298.2
BK-23-P,9.625,306.0,296.0
BK-23-H_R,9.625,306.2,296.7
BK-23-R_R,9.625,306.1,293.2
TMA-13A,13.375,365.5,365.5
TMA-13A,9.625,1355.3,1321.42
PLWD-33,20.0,134.0,134.0
PLWD-36,20.0,117.7,117.7
PLWD-40,20.0,130.8,130.8
PLWD-40,2.875,3676.14,2838.04
PLWD-36,7.0,2063.4,1467.12
