well,OD,MD,TVD
BK-23-D_R,9.625,306.1,298.2
BK-23-P,9.625,306.0,296.0
BK-23-H_R,9.625,306.2,296.7
BK-23-R_R,9.625,306.1,293.2
TMA-13A,13.375,365.5,365.5
TMA-13A,9.625,1355.3,1321.42
