well,MD,Incl,Azm
PLWD-40,45.78,121.9,
PLWD-40,45.87,121.72,
PLWD-40,46.31,121.9,
PLWD-36,37.19,159.96,
PLWD-36,38.61,154.67,
PLWD-36,38.78,149.56,
